epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2082.16,0.9354,0.74886,1.0636,0.82033,0.81963,0.86663,0.60432,0.88555,0.73268,1.05905,0.000703961,0.000703961,0.000703961
43,2131.59,0.91464,0.73763,1.05238,0.87122,0.78158,0.87459,0.61441,0.86764,0.72001,1.0551,0.000686277,0.000686277,0.000686277
44,2181,0.92248,0.74049,1.05672,0.85625,0.79338,0.86753,0.61518,0.85561,0.70562,1.04996,0.000668593,0.000668593,0.000668593
45,2230.35,0.90354,0.72951,1.05047,0.86422,0.79474,0.87343,0.61817,0.85406,0.70295,1.04413,0.000650909,0.000650909,0.000650909
46,2279.8,0.90749,0.72425,1.05141,0.86045,0.8128,0.87993,0.62068,0.8505,0.70555,1.03976,0.000633226,0.000633226,0.000633226
47,2329.24,0.89418,0.72633,1.04229,0.86308,0.80187,0.87174,0.61863,0.84375,0.71311,1.03602,0.000615542,0.000615542,0.000615542
48,2378.62,0.89771,0.72831,1.04028,0.86203,0.77282,0.855,0.61641,0.82972,0.70539,1.03364,0.000597858,0.000597858,0.000597858
49,2428.1,0.87558,0.70706,1.03449,0.86655,0.79161,0.87138,0.61666,0.83695,0.70534,1.0388,0.000580174,0.000580174,0.000580174
50,2477.51,0.88351,0.71359,1.03303,0.86267,0.8023,0.87336,0.61786,0.83075,0.70556,1.03473,0.00056249,0.00056249,0.00056249
51,2526.92,0.87665,0.70785,1.03552,0.87987,0.78496,0.87517,0.62409,0.83398,0.70001,1.03609,0.000544806,0.000544806,0.000544806
52,2576.35,0.87087,0.70388,1.02704,0.86,0.81095,0.87092,0.62449,0.82098,0.69397,1.03298,0.000527122,0.000527122,0.000527122
53,2625.81,0.86549,0.71024,1.03114,0.88275,0.7974,0.87729,0.62154,0.8223,0.69584,1.02869,0.000509438,0.000509438,0.000509438
54,2675.21,0.85626,0.70808,1.02493,0.87192,0.78283,0.88027,0.62856,0.8202,0.68513,1.03267,0.000491755,0.000491755,0.000491755
55,2724.64,0.86664,0.70266,1.03145,0.8608,0.79399,0.87124,0.62419,0.81521,0.69917,1.0317,0.000474071,0.000474071,0.000474071
56,2774,0.8601,0.70822,1.0321,0.86776,0.8086,0.87474,0.62889,0.80268,0.6726,1.02612,0.000456387,0.000456387,0.000456387
57,2823.41,0.85065,0.70397,1.0231,0.89064,0.79334,0.87704,0.63072,0.80112,0.68399,1.02318,0.000438703,0.000438703,0.000438703
58,2872.86,0.85578,0.69956,1.02716,0.87027,0.80026,0.87317,0.63201,0.79415,0.68424,1.01581,0.000421019,0.000421019,0.000421019
59,2922.29,0.83797,0.69415,1.02091,0.89274,0.79932,0.88306,0.63781,0.79274,0.6832,1.01761,0.000403335,0.000403335,0.000403335
60,2971.75,0.82799,0.68871,1.01451,0.87014,0.79559,0.8789,0.63697,0.79265,0.68301,1.01703,0.000385651,0.000385651,0.000385651
61,3021.14,0.83444,0.68919,1.01846,0.87501,0.80428,0.8758,0.63656,0.78654,0.67216,1.01358,0.000367967,0.000367967,0.000367967
62,3070.64,0.83139,0.69789,1.01608,0.86014,0.80934,0.87571,0.63477,0.79704,0.68488,1.01883,0.000350284,0.000350284,0.000350284
63,3120.11,0.82306,0.68063,1.01148,0.88687,0.79341,0.8772,0.63221,0.78591,0.67677,1.01668,0.0003326,0.0003326,0.0003326
64,3169.54,0.81491,0.68313,1.00669,0.87436,0.77876,0.86979,0.63314,0.78947,0.67966,1.01437,0.000314916,0.000314916,0.000314916
65,3218.99,0.82331,0.68373,1.01572,0.8622,0.80586,0.87398,0.63374,0.78635,0.66864,1.01313,0.000297232,0.000297232,0.000297232
66,3268.44,0.81193,0.68035,1.00772,0.88197,0.78509,0.87386,0.63393,0.78239,0.67066,1.01399,0.000279548,0.000279548,0.000279548
67,3317.84,0.80154,0.67576,1.00913,0.87852,0.78581,0.87857,0.63703,0.78146,0.6656,1.01774,0.000261864,0.000261864,0.000261864
68,3367.26,0.80473,0.67081,1.00604,0.87002,0.8057,0.87606,0.63709,0.77724,0.67043,1.01292,0.00024418,0.00024418,0.00024418
69,3416.67,0.79519,0.66526,1.00439,0.87632,0.80078,0.8804,0.64228,0.77171,0.66164,1.00694,0.000226497,0.000226497,0.000226497
